"build","experimentName","subject","date","time","blockcode","trialcode","list.Condition.currentvalue","cond","condcolor","percentTrialsStay","practiceblock","cannon","conc","blocknum","trialnum","StaySwitch","TAC","hitmiss","angmu","outcome","placementAngle","prev_placementAngle","trial.placeshield_mouse.latency","cannonballs_caught","cannonballs_missed","totalearnings","angleup","angledown","outcomeindex","update","distmean","shield_size","blockearnings","block.InstructionBlock.timestamp","trial.begin_block.timestamp","trial.mainloop.timestamp","trial.placeshield_mouse.timestamp","trial.showPE.timestamp","trial.cannon_outcome.timestamp","picture.shield.currentitem"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Phase_starts","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_BeginTask","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_PlaceShield_delay","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_PlaceShield_delay","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_PlaceShield_delay","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","lockin","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_PlaceShield","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","360","0","0","0","0","0","363","357","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_CannonOutcome","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","0","0","0","360","0","0","0","0","0","363","357","0","0","0","3","0","0","0","0","0","0","0","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","1","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","363","357","3","0","0","3","0","0","0","0","0","0","6012","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_RevealShield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","363","357","3","0","0","3","0","0","0","0","0","0","6012","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_RevealShield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","363","357","3","0","0","3","0","0","0","0","0","0","6012","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","Instructions_RevealShield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","363","357","3","0","0","3","0","0","0","0","0","0","6012","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","mainloop","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","360","0","0","0","0","0","363","357","3","0","0","3","0","0","0","9165","0","0","6012","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","placeshield_mouse","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","360","1193","0","0","0","4.3574658445306084786","-1.6425341554693910773","3","0","0","3","0","0","0","9165","9222","0","6012","Arc5.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","revealshield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","360","1193","0","0","0","47.3574658445306084786","-44.6425341554693915214","3","358.6425341554693773105","1.3574658445306089227","46","0","0","0","9165","9222","10427","6012","Arc46.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","360","1193","1","0","0","47.3574658445306084786","-44.6425341554693915214","5","358.6425341554693773105","1.3574658445306089227","46","0","0","0","9165","9222","10427","11948","Arc46.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","mainloop","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","360","1193","1","0","0","47.3574658445306084786","-44.6425341554693915214","5","358.6425341554693773105","1.3574658445306089227","46","0","0","0","12270","9222","10427","11948","Arc46.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","placeshield_mouse","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","204","1","0","0","47.3574658445306084786","-44.6425341554693915214","5","358.6425341554693773105","1.3574658445306089227","46","0","0","0","12270","12324","10427","11948","Arc46.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","revealshield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","204","1","0","0","15.3574658445306084786","-12.6425341554693915214","5","0","1.3574658445306089227","14","0","0","0","12270","12324","12539","11948","Arc14.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","204","2","0","0","15.3574658445306084786","-12.6425341554693915214","5","0","1.3574658445306089227","14","0","0","0","12270","12324","12539","14056","Arc14.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","mainloop","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","204","2","0","0","15.3574658445306084786","-12.6425341554693915214","5","0","1.3574658445306089227","14","0","0","0","14385","12324","12539","14056","Arc14.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","placeshield_mouse","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","209","2","0","0","15.3574658445306084786","-12.6425341554693915214","5","0","1.3574658445306089227","14","0","0","0","14385","14438","12539","14056","Arc14.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","revealshield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","209","2","0","0","40.3574658445306084786","-37.6425341554693915214","5","0","1.3574658445306089227","39","0","0","0","14385","14438","14659","14056","Arc39.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","209","3","0","0","40.3574658445306084786","-37.6425341554693915214","5","0","1.3574658445306089227","39","0","0","0","14385","14438","14659","16176","Arc39.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","mainloop","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","209","3","0","0","40.3574658445306084786","-37.6425341554693915214","5","0","1.3574658445306089227","39","0","0","0","16503","14438","14659","16176","Arc39.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","placeshield_mouse","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","342","3","0","0","40.3574658445306084786","-37.6425341554693915214","5","0","1.3574658445306089227","39","0","0","0","16503","16556","14659","16176","Arc39.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","revealshield","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","342","3","0","0","29.3574658445306084786","-26.6425341554693915214","5","0","1.3574658445306089227","28","0","0","0","16503","16556","16908","16176","Arc28.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","2","1","18.7749999999999985789","0","0","0","0","1","0","0","1.3574658445306089227","1.3574658445306089227","342","4","0","0","29.3574658445306084786","-26.6425341554693915214","5","0","1.3574658445306089227","28","0","0","0","16503","16556","16908","18425","Arc28.png"
