"build","experimentName","subject","date","time","block","StaySwitch","conc","trialnum","outcomeindex","practiceblock","cannon","hitmiss","ang","angmu","angrand","angsurprise","cannonballs_caught","cannonballs_missed","placementAngle","calculateSelectedPosition","centsearned","totalearnings","centsearned","trial.Instructions_PlaceShield.latency","trial.placeshield_mouse.latency","picture.shield.currentitem","angoddball","angsurprise","angleup","angledown"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","278.0430222204986421275","0","0","0","302.0053832080835150009","0.0500000000000000028","0","0","0","0","Arc4-removebg-preview.png","-7.5292351914628721232","205.2191097208343251168","302.0053832080835150009","302.0053832080835150009"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","75.8548106988553882957","0","0","302.0053832080835150009","302.0053832080835150009","0.0500000000000000028","0","0","0","0","Arc4-removebg-preview.png","1.8547504619926360458","168.834205141485256263","302.0053832080835150009","302.0053832080835150009"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","133.8130574984971872254","0","0","303.0706778227616950971","303.0706778227616950971","0.0500000000000000028","0","0","12157","0","Arc4-removebg-preview.png","5.1924221738605584875","138.7155364404235911024","303.0706778227616950971","303.0706778227616950971"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","0","1","1","0","0","0","0","288.1788147446184211731","0","0","303.0706778227616950971","303.0706778227616950971","0.0500000000000000028","0","0","12157","0","Arc4-removebg-preview.png","-0.34490642684907169","9.6291586127200066159","303.0706778227616950971","303.0706778227616950971"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","170.3838245781100795284","0","0","303.0706778227616950971","303.0706778227616950971","0.0500000000000000028","0","0","12157","0","Arc4-removebg-preview.png","6.9023668132123177088","62.1155044767343227363","303.0706778227616950971","303.0706778227616950971"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","344.3524369281605572723","0","0","303.4574742995631595477","303.4574742995631595477","0.0500000000000000028","0","0","1696","0","Arc4-removebg-preview.png","-3.0809508700665770853","274.0719345756974121286","303.4574742995631595477","303.4574742995631595477"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","99.8339069028929486649","0","0","303.4574742995631595477","303.4574742995631595477","0.0500000000000000028","0","0","1696","0","Arc4-removebg-preview.png","1.4610205011863968139","238.5174768600886352488","303.4574742995631595477","303.4574742995631595477"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","132.7352021664230221631","0","0","303.4574742995631595477","303.4574742995631595477","0.0500000000000000028","0","0","1696","0","Arc4-removebg-preview.png","0.6635850090572993354","266.1164033939401178941","303.4574742995631595477","303.4574742995631595477"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","148.714619872326636596","0","0","304.3685384640669440159","304.3685384640669440159","0.0500000000000000028","0","0","5185","0","Arc4-removebg-preview.png","6.7066149324758743688","279.7748516592604346442","304.3685384640669440159","304.3685384640669440159"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","295.0335536000862362016","0","0","304.3685384640669440159","304.3685384640669440159","0.0500000000000000028","0","0","5185","0","Arc4-removebg-preview.png","7.6212663494137222742","211.141295212121036684","304.3685384640669440159","304.3685384640669440159"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","237.2116839692955068131","0","0","304.3685384640669440159","304.3685384640669440159","0.0500000000000000028","0","0","5185","0","Arc4-removebg-preview.png","4.9300285069967291207","80.9588008189943622028","304.3685384640669440159","304.3685384640669440159"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","272.5346020871155587884","0","0","359.1615850255977306915","359.1615850255977306915","0.0500000000000000028","0","0","1292","0","Arc4-removebg-preview.png","-1.0657316548418251934","74.6390334131752695157","359.1615850255977306915","359.1615850255977306915"
