"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.presentation_left.percentcorrect","trial.presentation_right.percentcorrect","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","block_number","task_phase","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","totalcorrect","numberoftimesleft","numberoftimesright","rightleftcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","100","33","400","36","412","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","1","13","0","","0","1","right","5","32","1.5","0"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","100","33","400","36","412","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","1","13","1","","0","1","right","6","32","1.5","0.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","50","33","400","33","296","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","IRIF","0","-1","1","2","14","1","","1","1","right","6","32","1.5","0.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","50","33","400","33","296","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","IRIF","0","-1","1","2","14","1","","1","1","right","0","32","1.5","0.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","66","33","400","36","161","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","3","15","1","","1","2","right","0","32","1.5","0.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","66","33","400","36","161","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","3","15","2","","1","2","right","1","32","1.5","1"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","75","33","400","36","429","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","4","16","2","","1","3","right","1","32","1.5","1"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","75","33","400","36","429","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","4","16","3","","1","3","right","2","32","1.5","1.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","60","33","400","0","2000","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","NRNF","0","0","1","5","17","3","","1","3","right","2","32","1.5","1.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","60","33","400","0","2000","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","NRNF","0","0","1","5","17","3","","1","3","right","0","32","1.5","1.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","66","33","400","36","334","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","6","18","3","","1","4","right","0","32","1.5","1.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","66","33","400","36","334","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","6","18","4","","1","4","right","1","32","1.5","2"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","71","33","400","36","155","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","7","19","4","","1","5","right","1","32","1.5","2"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","71","33","400","36","155","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","7","19","4","","1","5","right","2","32","1.5","2"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","75","33","400","36","59","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","8","20","4","","1","6","right","2","32","1.5","2"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","75","33","400","36","59","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","8","20","5","","1","6","right","3","32","1.5","2.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","77","33","400","36","292","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","9","21","5","","1","7","right","3","32","1.5","2.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","77","33","400","36","292","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","9","21","5","","1","7","right","4","32","1.5","2.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","80","33","400","36","472","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","10","22","5","","1","8","right","4","32","1.5","2.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","80","33","400","36","472","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","10","22","6","","1","8","right","5","32","1.5","3"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","81","33","400","36","272","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","11","23","6","","1","9","right","5","32","1.5","3"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","81","33","400","36","272","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","11","23","7","","1","9","right","6","32","1.5","3.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","83","33","400","36","1646","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","12","24","7","","1","10","right","6","32","1.5","3.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","83","33","400","36","1646","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","12","24","8","","1","10","right","7","32","1.5","4"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","84","33","400","36","407","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","13","25","8","","1","11","right","7","32","1.5","4"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","84","33","400","36","407","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","13","25","8","","1","11","right","8","32","1.5","4"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","85","33","400","36","317","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","14","26","8","","1","12","right","8","32","1.5","4"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","85","33","400","36","317","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","14","26","9","","1","12","right","9","32","1.5","4.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","86","33","400","36","62","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","15","27","9","","1","13","right","9","32","1.5","4.5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","86","33","400","36","62","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","15","27","10","","1","13","right","10","32","1.5","5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","87","33","400","36","227","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","16","28","10","","1","14","right","10","32","1.5","5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","87","33","400","36","227","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRIF","0","1","-1","16","28","10","","1","14","right","11","32","1.5","5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","presentation_right","Experiment_block_rightstart","ship.bmp","33","88","33","400","36","103","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","17","29","10","","1","15","right","11","32","1.5","5"
"6.4.2","Reversal_Task","1","2021-08-16","20:53:30","fixation","Experiment_block_rightstart","+","33","88","33","400","36","103","20","18","1","Acquisiton","20","18","0.2000000000000000111","0.8000000000000000444","CRCF","0","1","1","17","29","11","","1","15","right","12","32","1.5","5.5"
