"build","experimentName","subject","date","time","numTrialEachBlock","faceDuration","stimulusAndFeedbackGapDuration","ITI","blockNumber","blockName","faceName","trialCounter","responseName","responseTime","responseAndFeedbackCategory","isResponseCorrect","isFeedbackAccurate"
"6.4.2","Reversal_Task","550","2021-07-12","16:02:59","40","","500","2000","0","practice","","0","","","IRIF","-1","1"
"6.4.2","Reversal_Task","213690447","2021-07-23","10:27:46","40","","500","2000","0","practice","","0","","","CRIF","1","-1"
"build","experimentName","subject","date","time","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","numTrialEachBlock","ITI","instructionIndex","practiceInstructionIndex","block_number","blockName","blockNumber","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","trialCounter","isResponseCorrect","isFeedbackAccurate","trial_number","numbercorrect","numberoftimesleft","numberoftimesright","rightleft","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","134345921","2021-07-23","11:39:46","","0","","0","8","32","40","2000","0","0","0","practice","0","8","32","1","0","","1","0","0","0","0","0","0","0","left","1","0","0"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","735","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","1","0","1","0","left","48","1.5","0"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","735","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","1","1","1","0","left","48","1.5","0.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","579","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","2","1","2","0","left","48","1.5","0.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","579","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","2","2","2","0","left","48","1.5","1"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","529","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","3","2","3","0","left","48","1.5","1"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","529","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","3","3","3","0","left","48","1.5","1.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","444","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","4","3","4","0","left","48","1.5","1.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","444","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","4","4","4","0","left","48","1.5","2"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","441","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","5","4","5","0","left","48","1.5","2"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","441","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","5","5","5","0","left","48","1.5","2.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","424","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","6","5","6","0","left","48","1.5","2.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","424","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","6","6","6","0","left","48","1.5","3"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","337","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","7","6","7","0","left","48","1.5","3"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","337","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","7","7","7","0","left","48","1.5","3.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","341","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","8","7","8","0","left","48","1.5","3.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","341","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","8","7","8","0","left","48","1.5","3.5"
