SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,Expected Completion Code,Gender,GenderConsistency,Feedback
315560,A19CB2C4GY4C60,3VZLGYJEYVJQYFSNDU7L5ZU78VFZXW,3657,8/30/2021 9:02:50 PM,8/30/2021 10:03:47 PM,Approved,6.05,1.41,0.827000,82Z7LNQEL8,82Z7LNQEL8,Male,100.00 %,
315560,A2LT6KC1X51FVW,3PW9OPU9P0TS234IHUD0NFGZI75122,4081,8/30/2021 9:24:11 PM,8/30/2021 10:32:12 PM,Approved,6.05,1.41,0.827000,825GU3P98,825GU3P98,Male,100.00 %,
315560,ADJ9I7ZBFYFH7,39DD6S19JZKHSF16IPHTHA90SPFEZD,3306,8/30/2021 10:41:31 PM,8/30/2021 11:36:37 PM,Approved,6.05,1.41,0.827000,82E9HFZ634,82E9HFZ634,Male,100.00 %,
315560,A310N8EXJNXVCA,3W92K5RLW4Q0NC336RZNSAQRRLCV5V,2903,8/30/2021 11:00:10 PM,8/30/2021 11:48:33 PM,Approved,6.05,1.41,0.827000,82VRN3QR92,82VRN3QR92,Male,100.00 %,
315560,A2GM5BW75YCKKW,3RJSC4XJ1A3KUB2N3UBY7H01XP505E,3664,8/30/2021 11:56:28 PM,8/31/2021 12:57:32 AM,Approved,6.05,1.41,0.827000,82573UJS8,82573UJS8,Female,100.00 %,
315560,A11GWITH08KSKG,3TE22NPXPLLJXGGO8QFQESK0E5U44X,3005,8/31/2021 12:43:00 AM,8/31/2021 1:33:05 AM,Approved,6.05,1.41,0.827000,824KFGLNT2,824KFGLNT2,Female,100.00 %,
315560,A3OKWRLKLYVH4F,3A4NIXBJ7G8VZECFKME3M33BMICML5,3310,8/31/2021 12:57:37 AM,8/31/2021 1:52:47 AM,Approved,6.05,1.41,0.827000,82MB3FVJN8,82MB3FVJN8,Male,100.00 %,
315560,A2OZGNW6THEMJ,3RGU30DZTKHP4OOFH12Q6OQJIT9JM2,3424,8/31/2021 1:21:55 AM,8/31/2021 2:18:59 AM,Approved,6.05,1.41,0.827000,82JJ2PZG2,82JJ2PZG2,Female,100.00 %,
315560,AUQTHU5AOZVQC,3VNXK88KKMRJOZ5F9HC44QVTDI59VC,3715,8/31/2021 9:02:05 AM,8/31/2021 10:04:00 AM,Approved,6.05,1.41,0.827000,829T4FR8N2,829T4FR8N2,Male,100.00 %,
315560,A2LV5432PV1S39,3WR9XG3T6DKGG3Y7AODXH44A59T74X,3622,8/31/2021 10:40:57 AM,8/31/2021 11:41:19 AM,Approved,6.05,1.41,0.827000,827AXYK3R2,827AXYK3R2,,,
