AmazonIdentifier,SurveyId,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,Bonus Amount,Estimated CloudResearch Fee,Actual Completion Code,Expected Completion Code,Gender,GenderConsistency,Feedback,subject,payout_colnum,Likelihood,Amount,payout_resp,Duration_mins,Answer,Side,Probability,Correct,true_payout,centsearned_c,centsearned_r,total
A11GWITH08KSKG,315560,3TE22NPXPLLJXGGO8QFQESK0E5U44X,3005,8/31/2021 12:43:00 AM,8/31/2021 1:33:05 AM,Approved,6.05,1.4154166666666668,0.8164,824KFGLNT2,824KFGLNT2,Female,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A19CB2C4GY4C60,315560,3VZLGYJEYVJQYFSNDU7L5ZU78VFZXW,3657,8/30/2021 9:02:50 PM,8/30/2021 10:03:47 PM,Approved,6.05,1.4154166666666668,0.8164,82Z7LNQEL8,82Z7LNQEL8,Male,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1IZ4NX41GKU4X,315560,3TS1AR6UQ0NQEJVWU59G881143DF7M,5236,10/22/2021 3:22:41 PM,10/22/2021 4:49:57 PM,Pending,0,NA,0.8164,A1IZ4NX41GKU4X,82F85JQA8,Male,100.00 %,NA,389909,39,0.75,4,0,71.7,J,R,0.4974562169518322,0,0,NA,NA,NA
A1JO6AY55FG7QU,315560,3ATTHHXXWKX43P3DDQJZ54RHMRDIXA,3612,10/23/2021 2:27:26 AM,10/23/2021 3:27:38 AM,Pending,0,1.37,0.8164,82IHZD4XT8,82IHZD4XT8,NA,NA,NA,744735,58,0.5,2.5,0,58.43333333333333,F,L,0.425615721847862,0,0,81,56,1.37
A1JV64BL3WCK0G,315560,3E13VNJ1NX4WDOIK6XYSAVNGHDQ1IV,3326,10/23/2021 2:20:46 PM,10/23/2021 3:16:12 PM,Pending,0,1.52,0.8164,82QNYIXV8,82QNYIXV8,Female,100.00 %,NA,628645,49,0.25,160,1,54.46666666666667,F,L,0.8543286037165672,1,0,96,56,1.52
A2389DERMNF3ZB,315560,3137ONMDKQEH1Y61SXT4W3TUR5GEG5,4075,10/22/2021 3:17:05 PM,10/22/2021 4:25:00 PM,Pending,0,1.585,0.8164,82EU46QN8,82EU46QN8,Female,100.00 %,NA,808746,52,0.5,40,1,66.48333333333333,F,L,0.659974999492988,1,0,95,63.5,1.585
A2A52EATFDQJ1P,315560,3L4D84MIL913CAN4Q4MDEJINBE6JHD,3545,10/22/2021 7:17:31 PM,10/22/2021 8:16:36 PM,Pending,0,1.32,0.8164,82JND43M42,82JND43M42,Female,100.00 %,NA,377598,18,0.75,10,1,57.88333333333333,F,L,0.5188619259279221,1,10,80.5,51.5,1.32
A2AAY4VT9L71SY,315560,326O153BMS7EPEWAQ7SWQIQXED0EDV,2551,10/22/2021 3:16:13 PM,10/22/2021 3:58:44 PM,Pending,0,1.515,0.8164,82EQSW7334,82EQSW7334,Male,100.00 %,NA,811078,47,0.5,100,1,41.85,F,L,0.10980345867574215,1,100,102,49.5,1.515
A2CQP9DZSDUC5V,315560,37UEWGM5H3H96NL3WKS1ONO745U1RC,4413,10/22/2021 3:53:31 PM,10/22/2021 5:07:04 PM,Pending,0,1.41,0.8164,82UN395E8,82UN395E8,Female,100.00 %,NA,224761,56,0.75,10,0,72.8,F,L,0.15410408494062722,0,0,81.5,59.5,1.41
A2GM5BW75YCKKW,315560,3RJSC4XJ1A3KUB2N3UBY7H01XP505E,3664,8/30/2021 11:56:28 PM,8/31/2021 12:57:32 AM,Approved,6.05,1.4154166666666668,0.8164,82573UJS8,82573UJS8,Female,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2LT6KC1X51FVW,315560,3PW9OPU9P0TS234IHUD0NFGZI75122,4081,8/30/2021 9:24:11 PM,8/30/2021 10:32:12 PM,Approved,6.05,1.4154166666666668,0.8164,825GU3P98,825GU3P98,Male,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2LV5432PV1S39,315560,3WR9XG3T6DKGG3Y7AODXH44A59T74X,3622,8/31/2021 10:40:57 AM,8/31/2021 11:41:19 AM,Approved,6.05,1.4154166666666668,0.8164,827AXYK3R2,827AXYK3R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2OZGNW6THEMJ,315560,3RGU30DZTKHP4OOFH12Q6OQJIT9JM2,3424,8/31/2021 1:21:55 AM,8/31/2021 2:18:59 AM,Approved,6.05,1.4154166666666668,0.8164,82JJ2PZG2,82JJ2PZG2,Female,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A310N8EXJNXVCA,315560,3W92K5RLW4Q0NC336RZNSAQRRLCV5V,2903,8/30/2021 11:00:10 PM,8/30/2021 11:48:33 PM,Approved,6.05,1.4154166666666668,0.8164,82VRN3QR92,82VRN3QR92,Male,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A39C1BN9ZSQ0R2,315560,31HQ4X3T32JYX9PK4JAPYC2HOFSLS4,3192,10/23/2021 12:28:49 AM,10/23/2021 1:22:01 AM,Pending,0,1.435,0.8164,82L2APJ3H2,82L2APJ3H2,Male,100.00 %,NA,577910,41,0.25,100,1,52.61666666666667,J,R,0.8173199484590441,1,0,87,56.5,1.435
A3GNQDFPZALU92,315560,34HJIJKLPF5IRTZ3SMGDNIKD1274VP,3305,10/24/2021 3:09:28 AM,10/24/2021 4:04:33 AM,Pending,0,1.515,0.8164,824KGZ5KH2,824KGZ5KH2,Male,100.00 %,NA,673855,22,0.25,40,1,50.583333333333336,F,L,0.20321846147999167,1,40,93,58.5,1.515
A3OKWRLKLYVH4F,315560,3A4NIXBJ7G8VZECFKME3M33BMICML5,3310,8/31/2021 12:57:37 AM,8/31/2021 1:52:47 AM,Approved,6.05,1.4154166666666668,0.8164,82MB3FVJN8,82MB3FVJN8,Male,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5EU1AQJNC7F2,315560,38BQUHLA96935ZFCXEUVEK75RT1OMU,3032,10/22/2021 3:35:01 PM,10/22/2021 4:25:33 PM,Pending,0,1.165,0.8164,82TKEZ6H82,82TKEZ6H82,Female,100.00 %,NA,858150,15,0.25,2.5,1,47.46666666666667,J,R,0.8768432319629937,1,0,66,50.5,1.165
ACSS93E03ZUGX,315560,3AMW0RGHONBR8HCDOFMAGZ1V6O4PN9,4157,10/22/2021 3:18:35 PM,10/22/2021 4:27:52 PM,Pending,0,1.305,0.8164,82PZF8HM2,82PZF8HM2,Female,100.00 %,NA,336228,12,0.75,100,1,53.45,J,R,0.7643020199611783,1,0,68,62.5,1.305
ADJ9I7ZBFYFH7,315560,39DD6S19JZKHSF16IPHTHA90SPFEZD,3306,8/30/2021 10:41:31 PM,8/30/2021 11:36:37 PM,Approved,6.05,1.4154166666666668,0.8164,82E9HFZ634,82E9HFZ634,Male,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AQXRHIMQ7UK7O,315560,3VW04L3ZL3F1TKS8CCJ08EEWA2XXX1,3365,10/22/2021 6:41:22 PM,10/22/2021 7:37:27 PM,Pending,0,1.31,0.8164,82XECKL48,82XECKL48,Female,100.00 %,NA,271259,3,0.25,10,0,55.05,J,R,0.6682694116607308,0,0,71.5,59.5,1.31
AUQTHU5AOZVQC,315560,3VNXK88KKMRJOZ5F9HC44QVTDI59VC,3715,8/31/2021 9:02:05 AM,8/31/2021 10:04:00 AM,Approved,6.05,1.4154166666666668,0.8164,829T4FR8N2,829T4FR8N2,Male,100.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
